Order ID,Clothing Type,Size,Color,Material,Pattern,Brand,Gender,Packaging,Special Request,Price,Quantity
1066,Polo Shirt,M,Black,Linen,Plaid,Urban Edge,Women,Eco-Friendly Packaging,None,79,5
1067,Dress,XS,Beige,Wool,Striped,Elite Apparel,Unisex,Standard Bag,Custom Embroidery,20,9
1068,Blazer,XXL,Blue,Rayon,Floral,Street Style,Men,Eco-Friendly Packaging,None,126,2
1069,Hoodie,XL,White,Wool,Floral,Modern Wear,Unisex,Luxury Box,Personalized Print,79,3
1070,T-Shirt,M,White,Rayon,Graphic,Modern Wear,Men,Luxury Box,Personalized Print,135,1
1071,Dress,XS,Blue,Silk,Solid,Classic Co.,Men,Luxury Box,Personalized Print,126,3
1072,Dress,M,White,Silk,Graphic,Vintage Vibes,Men,Standard Bag,Monogramming,71,3
1073,Sweater,S,Red,Linen,Solid,Elite Apparel,Men,Gift Box,None,35,5
1074,Polo Shirt,XXL,Blue,Silk,Graphic,Street Style,Unisex,Gift Box,Custom Embroidery,135,9
1075,Jeans,M,Yellow,Polyester,Floral,Urban Edge,Unisex,Standard Bag,Gift Wrap,67,10
1076,Dress,XL,White,Linen,Floral,TrendSetter,Unisex,Gift Box,None,130,6
1077,Polo Shirt,L,Blue,Cotton,Striped,Vintage Vibes,Unisex,Eco-Friendly Packaging,Monogramming,144,9
1078,Hoodie,M,Purple,Silk,Striped,Street Style,Women,Gift Box,Custom Embroidery,80,9
1079,Jacket,M,Yellow,Wool,Graphic,Modern Wear,Women,Luxury Box,Custom Embroidery,105,10
1080,Jacket,L,Purple,Wool,Camouflage,Elite Apparel,Women,Luxury Box,Monogramming,149,2
1081,Blazer,M,Blue,Polyester,Animal Print,Classic Co.,Unisex,Eco-Friendly Packaging,Monogramming,116,3
1082,Polo Shirt,XS,Black,Leather,Camouflage,Modern Wear,Men,Eco-Friendly Packaging,Personalized Print,81,8
1083,Jeans,S,Purple,Wool,Graphic,Modern Wear,Unisex,Eco-Friendly Packaging,Monogramming,114,2
1084,T-Shirt,XXL,Black,Denim,Camouflage,TrendSetter,Men,Gift Box,Custom Embroidery,90,8
1085,Blazer,S,Black,Nylon,Graphic,Vintage Vibes,Unisex,Luxury Box,None,90,5
1086,Polo Shirt,XS,Purple,Cotton,Animal Print,Classic Co.,Men,Luxury Box,Monogramming,94,8
1087,Polo Shirt,S,Red,Nylon,Animal Print,Vintage Vibes,Men,Luxury Box,Gift Wrap,43,2
1088,Jeans,XXL,Blue,Nylon,Striped,Vintage Vibes,Women,Gift Box,Custom Embroidery,131,10
1089,Sweater,XL,Yellow,Cotton,Striped,TrendSetter,Unisex,Standard Bag,Gift Wrap,83,3
1090,Polo Shirt,M,Beige,Leather,Plaid,Classic Co.,Unisex,Standard Bag,Personalized Print,49,9
1091,Shorts,XS,Pink,Linen,Striped,Vintage Vibes,Men,Standard Bag,Personalized Print,97,4
1092,Dress,M,Red,Polyester,Floral,Vintage Vibes,Women,Gift Box,Gift Wrap,74,2
1093,Hoodie,XXL,Red,Linen,Solid,Street Style,Men,Standard Bag,Personalized Print,137,9
1094,Blazer,L,Purple,Silk,Camouflage,Modern Wear,Women,Standard Bag,None,40,10
1095,Blazer,XS,Yellow,Nylon,Striped,TrendSetter,Men,Luxury Box,Custom Embroidery,62,5
1096,Blazer,L,Green,Cotton,Striped,Modern Wear,Unisex,Gift Box,None,144,1
1097,T-Shirt,M,Yellow,Cotton,Graphic,Classic Co.,Unisex,Gift Box,None,57,7
1098,Hoodie,XL,Purple,Linen,Camouflage,TrendSetter,Women,Luxury Box,Custom Embroidery,90,4
1099,T-Shirt,XS,Red,Wool,Striped,TrendSetter,Women,Gift Box,Custom Embroidery,71,9
1100,Hoodie,M,White,Leather,Solid,Urban Edge,Women,Eco-Friendly Packaging,None,101,4
1101,T-Shirt,XS,Red,Cotton,Striped,Vintage Vibes,Men,Standard Bag,Custom Embroidery,141,8
1102,Hoodie,M,Black,Rayon,Animal Print,Classic Co.,Unisex,Gift Box,Personalized Print,59,5
1103,Jacket,S,Pink,Wool,Polka Dots,Classic Co.,Women,Standard Bag,Personalized Print,106,6
1104,Dress,L,Black,Cotton,Floral,Classic Co.,Unisex,Standard Bag,Gift Wrap,63,6
1105,Dress,S,Red,Linen,Polka Dots,Modern Wear,Women,Eco-Friendly Packaging,Personalized Print,41,5
1106,Jacket,L,Pink,Silk,Plaid,Elite Apparel,Women,Standard Bag,Custom Embroidery,56,4
1107,Jacket,XXL,Yellow,Polyester,Animal Print,TrendSetter,Unisex,Standard Bag,Personalized Print,96,4
1108,Polo Shirt,M,White,Rayon,Solid,Modern Wear,Women,Luxury Box,Gift Wrap,132,5
1109,T-Shirt,S,Purple,Wool,Polka Dots,Elite Apparel,Women,Gift Box,None,122,4
1110,Shorts,L,Red,Nylon,Camouflage,Classic Co.,Unisex,Eco-Friendly Packaging,Monogramming,61,6
1111,Hoodie,S,Yellow,Linen,Floral,TrendSetter,Men,Eco-Friendly Packaging,Gift Wrap,148,3
1112,Sweater,XS,Black,Leather,Graphic,Urban Edge,Unisex,Gift Box,None,146,4
1113,Dress,XS,Gray,Leather,Striped,Elite Apparel,Unisex,Luxury Box,Gift Wrap,77,1
1114,Hoodie,XL,Pink,Linen,Striped,Modern Wear,Unisex,Standard Bag,Gift Wrap,65,2
1115,Polo Shirt,XS,Yellow,Leather,Camouflage,Vintage Vibes,Unisex,Luxury Box,Gift Wrap,117,10
1116,T-Shirt,L,Gray,Leather,Striped,Classic Co.,Women,Standard Bag,Monogramming,64,3
1117,Skirt,XL,Beige,Polyester,Solid,Street Style,Women,Eco-Friendly Packaging,Monogramming,73,6
1118,Skirt,L,Purple,Leather,Striped,TrendSetter,Men,Eco-Friendly Packaging,Monogramming,149,3
1119,Jeans,XL,Beige,Wool,Polka Dots,TrendSetter,Women,Standard Bag,Custom Embroidery,116,7
1120,T-Shirt,XS,White,Wool,Camouflage,Vintage Vibes,Unisex,Luxury Box,Monogramming,75,2
1121,Skirt,XS,Green,Leather,Camouflage,Urban Edge,Men,Standard Bag,Custom Embroidery,75,10
1122,Hoodie,XS,Beige,Rayon,Plaid,Elite Apparel,Men,Gift Box,Personalized Print,136,8
1123,Skirt,L,Green,Silk,Plaid,Vintage Vibes,Men,Eco-Friendly Packaging,Personalized Print,112,3
1124,Hoodie,XXL,Beige,Wool,Solid,Urban Edge,Men,Eco-Friendly Packaging,Gift Wrap,145,5
1125,Hoodie,XL,Gray,Leather,Plaid,Street Style,Women,Luxury Box,Gift Wrap,37,1
1126,Jeans,XL,Beige,Denim,Polka Dots,Classic Co.,Women,Luxury Box,Monogramming,115,3
1127,Shorts,M,Green,Wool,Graphic,Vintage Vibes,Women,Gift Box,Monogramming,110,5
1128,Hoodie,L,Gray,Cotton,Striped,Classic Co.,Unisex,Standard Bag,Personalized Print,56,1
1129,T-Shirt,L,Red,Cotton,Plaid,Vintage Vibes,Women,Luxury Box,None,24,1
1130,Jeans,XS,Green,Leather,Graphic,Modern Wear,Women,Standard Bag,Custom Embroidery,54,3
1131,Polo Shirt,S,Blue,Polyester,Animal Print,Classic Co.,Women,Eco-Friendly Packaging,Monogramming,127,1
1132,Polo Shirt,XXL,Pink,Wool,Polka Dots,Elite Apparel,Men,Eco-Friendly Packaging,Custom Embroidery,27,8
1133,Jeans,XS,Black,Polyester,Plaid,Vintage Vibes,Women,Eco-Friendly Packaging,Monogramming,137,5
1134,Blazer,XL,Gray,Rayon,Plaid,Urban Edge,Unisex,Standard Bag,Gift Wrap,124,1
1135,Dress,XS,Yellow,Rayon,Graphic,TrendSetter,Unisex,Luxury Box,None,52,9
1136,Jacket,XL,Purple,Cotton,Solid,Classic Co.,Women,Luxury Box,Custom Embroidery,34,8
1137,Jacket,L,Black,Linen,Polka Dots,Vintage Vibes,Women,Standard Bag,None,101,10
1138,Polo Shirt,M,Yellow,Rayon,Striped,Urban Edge,Women,Luxury Box,Custom Embroidery,132,3
1139,Blazer,XXL,Gray,Denim,Polka Dots,Elite Apparel,Men,Eco-Friendly Packaging,Personalized Print,26,2
1140,Sweater,L,Beige,Silk,Solid,Elite Apparel,Unisex,Eco-Friendly Packaging,Custom Embroidery,27,2
1141,Jacket,L,White,Wool,Graphic,Classic Co.,Men,Gift Box,Monogramming,75,7
1142,Shorts,XS,Purple,Linen,Floral,TrendSetter,Women,Eco-Friendly Packaging,Custom Embroidery,67,7
1143,Polo Shirt,S,Gray,Wool,Solid,Urban Edge,Unisex,Gift Box,Custom Embroidery,128,8
1144,T-Shirt,XXL,Green,Denim,Plaid,Classic Co.,Unisex,Luxury Box,Gift Wrap,106,8
1145,Hoodie,L,Red,Rayon,Striped,TrendSetter,Men,Gift Box,Custom Embroidery,69,9
1146,Skirt,S,Purple,Linen,Striped,TrendSetter,Unisex,Gift Box,None,41,8
1147,T-Shirt,M,Yellow,Cotton,Graphic,Modern Wear,Men,Luxury Box,Custom Embroidery,140,3
1148,Skirt,S,Red,Cotton,Floral,Modern Wear,Men,Luxury Box,None,57,2
1149,Shorts,M,Yellow,Leather,Solid,Urban Edge,Unisex,Standard Bag,Personalized Print,44,2
1150,Jacket,XS,Purple,Rayon,Polka Dots,Elite Apparel,Men,Luxury Box,Personalized Print,65,6
1151,Skirt,L,Red,Polyester,Polka Dots,Vintage Vibes,Unisex,Luxury Box,Personalized Print,58,2
1152,Skirt,XL,Red,Wool,Floral,Urban Edge,Unisex,Luxury Box,Monogramming,24,3
1153,Dress,XS,Yellow,Polyester,Animal Print,Elite Apparel,Men,Luxury Box,Custom Embroidery,42,2
1154,Hoodie,M,Green,Cotton,Floral,Street Style,Unisex,Eco-Friendly Packaging,Gift Wrap,76,7
1155,Hoodie,XXL,Beige,Silk,Camouflage,TrendSetter,Women,Standard Bag,Personalized Print,148,9
1156,Shorts,M,Beige,Leather,Graphic,Classic Co.,Women,Luxury Box,Gift Wrap,137,1
1157,Hoodie,L,Blue,Leather,Camouflage,Vintage Vibes,Men,Eco-Friendly Packaging,Monogramming,96,4
1158,Jeans,XL,Green,Denim,Graphic,TrendSetter,Women,Gift Box,Monogramming,41,7
1159,Dress,L,Beige,Rayon,Striped,Elite Apparel,Men,Gift Box,Personalized Print,80,2
1160,Dress,M,Red,Linen,Striped,Street Style,Women,Luxury Box,Personalized Print,149,5
1161,Hoodie,XS,Black,Cotton,Polka Dots,Street Style,Men,Luxury Box,None,124,1
1162,T-Shirt,XL,Black,Wool,Floral,Classic Co.,Women,Standard Bag,Gift Wrap,51,8
1163,Skirt,XXL,Gray,Wool,Polka Dots,Classic Co.,Men,Standard Bag,Gift Wrap,75,5
1164,Shorts,M,Gray,Nylon,Plaid,Elite Apparel,Women,Standard Bag,Custom Embroidery,97,8
1165,Hoodie,XL,Beige,Rayon,Graphic,Street Style,Unisex,Luxury Box,Custom Embroidery,44,4
1166,Blazer,S,Beige,Linen,Striped,Modern Wear,Men,Standard Bag,Personalized Print,53,3
1167,Skirt,XXL,Beige,Rayon,Floral,TrendSetter,Women,Eco-Friendly Packaging,Monogramming,85,10
1168,Sweater,XXL,Blue,Wool,Striped,Urban Edge,Women,Eco-Friendly Packaging,Custom Embroidery,110,6
1169,Sweater,XXL,Pink,Linen,Camouflage,Classic Co.,Unisex,Eco-Friendly Packaging,Monogramming,133,5
1170,Shorts,XL,Blue,Cotton,Polka Dots,Urban Edge,Unisex,Gift Box,Personalized Print,77,4
1171,Hoodie,L,Blue,Cotton,Camouflage,Urban Edge,Men,Eco-Friendly Packaging,Personalized Print,105,1
1172,Dress,XXL,Yellow,Rayon,Camouflage,Urban Edge,Unisex,Standard Bag,Custom Embroidery,146,8
1173,Polo Shirt,L,White,Denim,Plaid,Street Style,Women,Eco-Friendly Packaging,Gift Wrap,118,3
1174,Skirt,S,Black,Silk,Animal Print,TrendSetter,Unisex,Gift Box,Custom Embroidery,42,10
1175,Hoodie,S,Green,Polyester,Floral,Modern Wear,Unisex,Gift Box,Custom Embroidery,137,5
1176,Polo Shirt,XL,Gray,Silk,Polka Dots,Elite Apparel,Men,Gift Box,Gift Wrap,117,7
1177,Shorts,L,Pink,Denim,Camouflage,TrendSetter,Women,Gift Box,None,146,3
1178,Jacket,XL,Blue,Cotton,Solid,Street Style,Unisex,Standard Bag,None,130,2
1179,T-Shirt,XXL,Blue,Rayon,Polka Dots,Vintage Vibes,Women,Standard Bag,Monogramming,76,3
1180,Blazer,M,Pink,Polyester,Polka Dots,TrendSetter,Men,Luxury Box,Personalized Print,135,4
1181,Hoodie,L,Purple,Leather,Floral,Modern Wear,Women,Standard Bag,Gift Wrap,27,7
1182,Skirt,XL,Purple,Linen,Animal Print,Classic Co.,Women,Luxury Box,Personalized Print,142,3
1183,Jeans,XXL,Red,Linen,Solid,TrendSetter,Women,Eco-Friendly Packaging,Custom Embroidery,98,5
1184,Hoodie,XS,Red,Denim,Floral,Classic Co.,Unisex,Standard Bag,Custom Embroidery,109,1
1185,Polo Shirt,L,Gray,Rayon,Camouflage,TrendSetter,Women,Eco-Friendly Packaging,Gift Wrap,59,2
1186,T-Shirt,XS,Blue,Leather,Plaid,Urban Edge,Men,Standard Bag,None,122,3
1187,Dress,XS,Purple,Polyester,Floral,Vintage Vibes,Women,Gift Box,Monogramming,132,3
1188,Dress,XXL,Gray,Polyester,Polka Dots,Urban Edge,Women,Eco-Friendly Packaging,Monogramming,110,6
1189,Jeans,L,Black,Linen,Floral,Classic Co.,Men,Eco-Friendly Packaging,None,77,7
1190,Jacket,XL,Red,Rayon,Graphic,Classic Co.,Women,Standard Bag,Custom Embroidery,34,2
1191,Sweater,XS,Blue,Denim,Striped,Modern Wear,Men,Standard Bag,Monogramming,30,2
1192,Polo Shirt,S,Purple,Nylon,Solid,Vintage Vibes,Unisex,Eco-Friendly Packaging,None,111,2
1193,T-Shirt,XXL,Green,Silk,Floral,Urban Edge,Women,Eco-Friendly Packaging,Personalized Print,41,2
1194,Hoodie,XL,Purple,Nylon,Graphic,Classic Co.,Men,Standard Bag,Personalized Print,60,4
1195,Jacket,L,Purple,Linen,Camouflage,Elite Apparel,Women,Standard Bag,Custom Embroidery,27,10
1196,Jeans,S,Pink,Denim,Animal Print,Classic Co.,Women,Eco-Friendly Packaging,Monogramming,42,4
1197,Blazer,M,Beige,Cotton,Graphic,TrendSetter,Men,Eco-Friendly Packaging,Custom Embroidery,73,3
1198,Jeans,XXL,Yellow,Polyester,Graphic,Modern Wear,Unisex,Luxury Box,Monogramming,82,5
1199,Shorts,S,Yellow,Wool,Solid,Street Style,Unisex,Luxury Box,Gift Wrap,63,5
1200,Dress,L,Black,Silk,Floral,Street Style,Men,Standard Bag,Monogramming,119,8
1201,Jacket,S,Blue,Cotton,Striped,Elite Apparel,Women,Eco-Friendly Packaging,Custom Embroidery,63,5
1202,Skirt,S,White,Cotton,Graphic,Modern Wear,Men,Luxury Box,Custom Embroidery,61,7
1203,Sweater,L,Red,Wool,Floral,Urban Edge,Men,Gift Box,Custom Embroidery,65,8
1204,T-Shirt,M,Yellow,Polyester,Striped,Street Style,Unisex,Standard Bag,Gift Wrap,55,7
1205,Sweater,XS,Purple,Silk,Animal Print,Urban Edge,Unisex,Luxury Box,Gift Wrap,126,2
1206,Skirt,M,Beige,Wool,Solid,Elite Apparel,Men,Eco-Friendly Packaging,Personalized Print,48,4
1207,Dress,S,Pink,Wool,Polka Dots,Vintage Vibes,Women,Gift Box,Personalized Print,95,3
1208,Skirt,XS,Black,Leather,Solid,Classic Co.,Unisex,Eco-Friendly Packaging,Gift Wrap,114,3
1209,Sweater,S,Green,Rayon,Striped,Urban Edge,Unisex,Standard Bag,None,144,10
1210,Dress,S,Red,Linen,Solid,Street Style,Unisex,Standard Bag,Custom Embroidery,114,4
1211,Hoodie,XS,White,Linen,Polka Dots,Vintage Vibes,Women,Eco-Friendly Packaging,Personalized Print,38,8
1212,Dress,XS,White,Denim,Animal Print,TrendSetter,Unisex,Eco-Friendly Packaging,Gift Wrap,101,10
1213,T-Shirt,M,Pink,Wool,Plaid,Urban Edge,Women,Standard Bag,Monogramming,40,1
1214,Jacket,XS,Gray,Denim,Striped,TrendSetter,Men,Gift Box,Custom Embroidery,121,6
1215,Sweater,XS,Purple,Nylon,Polka Dots,TrendSetter,Unisex,Eco-Friendly Packaging,Personalized Print,60,5
1216,Sweater,XS,Yellow,Rayon,Solid,Vintage Vibes,Men,Gift Box,Monogramming,150,3
1217,Polo Shirt,XS,Gray,Leather,Camouflage,Urban Edge,Unisex,Eco-Friendly Packaging,Monogramming,118,9
1218,Jacket,XXL,Gray,Linen,Graphic,TrendSetter,Unisex,Eco-Friendly Packaging,Custom Embroidery,109,3
1219,T-Shirt,M,Pink,Nylon,Solid,Classic Co.,Men,Eco-Friendly Packaging,Gift Wrap,57,7
1220,Blazer,S,Red,Silk,Camouflage,Elite Apparel,Men,Gift Box,Monogramming,27,2
1221,Polo Shirt,S,Red,Polyester,Striped,Urban Edge,Men,Luxury Box,Personalized Print,48,6
1222,Sweater,XL,Yellow,Cotton,Floral,TrendSetter,Women,Luxury Box,Personalized Print,70,2
1223,Polo Shirt,XS,Black,Leather,Animal Print,Urban Edge,Unisex,Gift Box,None,25,3
1224,Hoodie,L,Gray,Silk,Graphic,Vintage Vibes,Unisex,Gift Box,Custom Embroidery,103,2
1225,Skirt,L,Beige,Silk,Graphic,Elite Apparel,Unisex,Luxury Box,Personalized Print,147,8
1226,T-Shirt,L,Blue,Nylon,Polka Dots,Street Style,Men,Luxury Box,Personalized Print,126,7
1227,Skirt,M,Gray,Linen,Animal Print,Vintage Vibes,Unisex,Standard Bag,Gift Wrap,40,6
1228,Shorts,L,White,Wool,Solid,Urban Edge,Men,Eco-Friendly Packaging,Personalized Print,26,10
1229,Jeans,XS,White,Silk,Polka Dots,Vintage Vibes,Unisex,Eco-Friendly Packaging,Personalized Print,39,1
1230,T-Shirt,M,Black,Polyester,Camouflage,TrendSetter,Men,Standard Bag,Custom Embroidery,142,7
1231,Shorts,M,White,Polyester,Floral,Vintage Vibes,Unisex,Gift Box,Personalized Print,144,10
1232,Jacket,S,White,Denim,Graphic,Elite Apparel,Women,Luxury Box,Gift Wrap,131,1
1233,T-Shirt,S,White,Rayon,Solid,Modern Wear,Men,Eco-Friendly Packaging,Custom Embroidery,24,6
1234,Dress,XXL,Beige,Wool,Polka Dots,Modern Wear,Unisex,Luxury Box,Custom Embroidery,91,6
1235,Hoodie,S,Beige,Linen,Animal Print,Vintage Vibes,Men,Luxury Box,Personalized Print,35,8
1236,Jeans,S,Yellow,Nylon,Animal Print,Modern Wear,Unisex,Gift Box,None,64,10
1237,Skirt,M,Black,Polyester,Animal Print,Elite Apparel,Unisex,Eco-Friendly Packaging,Custom Embroidery,123,7
1238,Jacket,XS,White,Polyester,Striped,TrendSetter,Men,Eco-Friendly Packaging,Custom Embroidery,105,10
1239,Shorts,XXL,Green,Linen,Plaid,Street Style,Unisex,Luxury Box,Personalized Print,137,4
1240,Polo Shirt,XXL,Yellow,Linen,Graphic,Urban Edge,Women,Eco-Friendly Packaging,None,130,3
1241,Dress,M,Gray,Polyester,Striped,Urban Edge,Women,Luxury Box,Monogramming,40,1
1242,Blazer,XS,Green,Cotton,Polka Dots,Urban Edge,Men,Luxury Box,Gift Wrap,34,3
1243,Hoodie,XXL,Blue,Denim,Polka Dots,Elite Apparel,Unisex,Eco-Friendly Packaging,Custom Embroidery,102,3
1244,T-Shirt,XS,Black,Linen,Solid,Street Style,Men,Gift Box,Gift Wrap,104,8
1245,Dress,XL,White,Leather,Striped,Urban Edge,Unisex,Luxury Box,Custom Embroidery,122,8
1246,Skirt,XL,Black,Nylon,Polka Dots,Vintage Vibes,Men,Standard Bag,Personalized Print,37,2
1247,Sweater,XS,Green,Rayon,Polka Dots,Classic Co.,Men,Gift Box,Gift Wrap,90,9
1248,Dress,XS,White,Polyester,Camouflage,Modern Wear,Unisex,Gift Box,None,135,8
1249,Shorts,XXL,Green,Linen,Animal Print,TrendSetter,Unisex,Luxury Box,Monogramming,127,3
1250,Jeans,XL,Red,Cotton,Camouflage,Modern Wear,Unisex,Eco-Friendly Packaging,None,29,5
